,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
0,PRETRIAL,1,Caucasian,451115569,22,Intake,English,Pretrial,Probation,Single,1357046803,2,8,Low
1,Probation,1,African-American,571161083,22,Intake,English,Pretrial,Probation,Single,1357834620,4,8,Medium
2,PRETRIAL,0,African-American,-8906922,22,Intake,English,Pretrial,Probation,Single,1357139299,2,8,High
3,PRETRIAL,1,African-American,322937470,22,Intake,English,Pretrial,Probation,Single,1358329698,2,8,High
4,PRETRIAL,1,Caucasian,608817208,22,Intake,English,Pretrial,Probation,Single,1359324430,1,8,Low
5,Probation,1,African-American,-317849977,17,Intake,English,Post Sentence,Jail Inmate,Single,1357386128,4,8,High
6,Probation,0,Hispanic,-324029619,22,Intake,English,Pretrial,Jail Inmate,Single,1357551720,3,8,Medium
7,PRETRIAL,1,African-American,235666100,22,Intake,English,Pretrial,Jail Inmate,Married,1357423697,1,8,High
8,Probation,1,African-American,-1001573228,22,Intake,English,Pretrial,Jail Inmate,Single,1357174622,1,8,Low
9,PRETRIAL,1,African-American,280290018,22,Intake,English,Pretrial,Probation,Single,1358763305,1,8,High
10,Probation,1,Hispanic,268430331,22,Intake,English,Post Sentence,Probation,Single,1358279658,3,8,Medium
11,PRETRIAL,1,African-American,-202363986,22,Intake,English,Post Sentence,Pretrial Defendant,Single,1357206665,1,8,High
12,Probation,0,African-American,344993175,22,Intake,English,Pretrial,Jail Inmate,Significant Other,1357698938,1,8,Low
13,PRETRIAL,0,African-American,-1051439303,22,Intake,English,Pretrial,Probation,Widowed,1357805947,4,8,Medium
14,Probation,1,African-American,-698922112,22,Intake,English,Pretrial,Jail Inmate,Married,1358369051,1,8,Medium
15,PRETRIAL,1,African-American,-905778769,22,Intake,English,Pretrial,Probation,Single,1357346192,1,8,Low
16,PRETRIAL,1,African-American,-185422533,22,Intake,English,Pretrial,Jail Inmate,Single,1357160303,1,8,Low
17,PRETRIAL,1,African-American,549199047,22,Intake,English,Pretrial,Pretrial Defendant,Single,1357957758,2,8,Low
18,PRETRIAL,1,African-American,-212241078,22,Intake,English,Pretrial,Jail Inmate,Married,1357580239,1,8,Low
