,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,Screening_Date,RecSupervisionLevel,Scale_ID,ScoreText
0,PRETRIAL,1,Caucasian,495111302,22,Intake,English,Pretrial,Jail Inmate,Single,1413354428,2,8,Medium
1,PRETRIAL,1,African-American,567055340,22,Intake,English,Pretrial,Jail Inmate,Single,1416451059,4,8,High
2,PRETRIAL,1,Caucasian,-103009992,22,Intake,English,Pretrial,Pretrial Defendant,Single,1394583862,1,8,Low
3,PRETRIAL,1,African-American,412310630,22,Intake,English,Post Sentence,Probation,Single,1363808267,1,8,Low
4,Probation,1,African-American,-154164733,22,Intake,English,Post Sentence,Probation,Single,1388584059,1,8,Low
5,Probation,1,African-American,422131091,22,Intake,English,Post Sentence,Probation,Single,1366348926,1,8,Low
6,PRETRIAL,0,African-American,460192424,22,Intake,English,Pretrial,Pretrial Defendant,Single,1415682254,2,8,Medium
7,Probation,0,African-American,457377243,22,Intake,English,Post Sentence,Probation,Single,1365916558,2,8,Medium
8,Probation,1,African-American,708829861,22,Intake,English,Post Sentence,Probation,Single,1371726894,2,8,Medium
9,PRETRIAL,1,African-American,753769853,22,Intake,English,Pretrial,Jail Inmate,Single,1418581565,2,8,Medium
10,Probation,1,Hispanic,707108545,22,Intake,English,Post Sentence,Probation,Single,1379118570,2,8,Medium
11,PRETRIAL,1,African-American,755854047,22,Intake,English,Pretrial,Jail Inmate,Single,1417565812,4,8,High
12,Probation,1,Caucasian,613648427,22,Intake,English,Post Sentence,Probation,Single,1375064683,1,8,Low
13,PRETRIAL,1,African-American,87656625,22,Intake,English,Post Sentence,Probation,Divorced,1365652032,1,8,Low
14,Probation,0,African-American,575960190,22,Intake,English,Post Sentence,Probation,Single,1398995414,1,8,Medium
15,PRETRIAL,1,African-American,566718910,22,Intake,English,Pretrial,Jail Inmate,Single,1417009440,2,8,Medium
16,PRETRIAL,0,African-American,118603903,22,Intake,English,Pretrial,Pretrial Defendant,Married,1416478825,1,8,Low
17,PRETRIAL,1,Caucasian,132584650,22,Intake,English,Pretrial,Pretrial Defendant,Single,1413261697,1,8,Low
18,Probation,1,African-American,596280102,22,Intake,English,Post Sentence,Probation,Single,1366843935,3,8,High
19,PRETRIAL,1,Caucasian,-194928655,22,Intake,English,Pretrial,Jail Inmate,Married,1418637861,1,8,Low
20,Probation,1,Caucasian,-34975901,22,Intake,English,Post Sentence,Probation,Divorced,1356998400,1,8,Low
21,PRETRIAL,1,Caucasian,505105151,22,Intake,English,Pretrial,Pretrial Defendant,Single,1412956391,1,8,Medium
22,PRETRIAL,1,African-American,173337741,22,Intake,English,Pretrial,Jail Inmate,Single,1360949336,1,8,Low
23,PRETRIAL,1,African-American,780869845,22,Intake,English,Pretrial,Pretrial Defendant,Single,1418134923,4,8,High
24,Probation,1,Caucasian,-607976117,22,Intake,English,Post Sentence,Probation,Divorced,1363317593,1,8,Low
